category,search_term,title,identifier,url,mediatype,confidence_score,creator,publisher,page_count
figures,Genesis P-Orridge,Esoterrorist: Selected Essays 1980-1988 / Genesis P-orridge,gpo-esoterrorist,https://archive.org/details/gpo-esoterrorist,texts,70,Genesis P-orridge,,
music_and_sound,Psychic TV,Psychic TV - Discography (1981–1999; 2003–2020),psychic_tv_disco,https://archive.org/details/psychic_tv_disco,audio,90,Genesis P-Orridge & Alex Fergusson,,
music_and_sound,Lou Reed,Lou Reed - Original Album Classics [5 Album Box],08-the-kids_202211,https://archive.org/details/08-the-kids_202211,audio,87,Lunar Monkey,,
music_and_sound,Chopin,Chopin Piano Music Complete Vol. II,lp_chopin-piano-music-complete-vol-ii_mieczyslaw-horszowski-guiomar-novaes,https://archive.org/details/lp_chopin-piano-music-complete-vol-ii_mieczyslaw-horszowski-guiomar-novaes,audio,87,"Mieczyslaw Horszowski, Guiomar Novaes",VOX,8
music_and_sound,Minutemen,minutemen discography,minutemen2,https://archive.org/details/minutemen2,audio,83,,,
music_and_sound,Psychic TV,Psychic Tv - Dreams Less Sweet-1983,01Hymn23,https://archive.org/details/01Hymn23,audio,82,,,
music_and_sound,Brian Jonestown Massacre,The Brian Jonestown Massacre - Diane Perry Tape (full tape),DianePerryTape,https://archive.org/details/DianePerryTape,audio,82,The Brian Jonestown Massacre,,
music_and_sound,Sid Vicious,"Sid Vicious 1978, Max's Kansas, USA",mick-jones-sid-vicious-and-arthur-kane-at-max_s-kansas-city-photographed-by-step,https://archive.org/details/mick-jones-sid-vicious-and-arthur-kane-at-max_s-kansas-city-photographed-by-step,audio,81,,,
music_and_sound,Sid Vicious,Sid Vicious - Sid Sings (1980),sid-vicious-sid-sings-1980_202005,https://archive.org/details/sid-vicious-sid-sings-1980_202005,audio,81,,,
music_and_sound,Psychic TV,DNA Lounge Live: Psychic TV (2004-11-03),DNALOUNGE-2004-11-03,https://archive.org/details/DNALOUNGE-2004-11-03,audio,81,,,
music_and_sound,Brian Jonestown Massacre,The Brian Jonestown Massacre - Demo Tape (861-8683),DemoTape861-8683,https://archive.org/details/DemoTape861-8683,audio,81,The Brian Jonestown Massacre,,
music_and_sound,Crass,Crass Stations Of The Crass (1979),crass-stations-of-the-crass-1979,https://archive.org/details/crass-stations-of-the-crass-1979,audio,80,,,
music_and_sound,Psychic TV,Psychic TV-Those Who Do Not-1984,01.AstruNamingRitualForCaresseI,https://archive.org/details/01.AstruNamingRitualForCaresseI,audio,80,,,
music_and_sound,Brian Jonestown Massacre,Brian Jonestown Massacre - Give It Back!,brian-jonestown-massacre-give-it-back,https://archive.org/details/brian-jonestown-massacre-give-it-back,audio,80,Brian Jonestown Massacre,,
music_and_sound,Brian Jonestown Massacre,"Brian Jonestown Massacre - Bravery, Repetition, and Noise",brian-jonestown-massacre-bravery-repetition-and-noise,https://archive.org/details/brian-jonestown-massacre-bravery-repetition-and-noise,audio,80,Brian Jonestown Massacre,,
music_and_sound,Chopin,Complete Chopin Nocturnes,Complete_Chopin_Nocturnes,https://archive.org/details/Complete_Chopin_Nocturnes,audio,80,S D Rodrian,,
music_and_sound,Psychic TV,Size To Seizure,Vivid_Tribe_Of_Psychics_Size_To_Seizure_Free_Download,https://archive.org/details/Vivid_Tribe_Of_Psychics_Size_To_Seizure_Free_Download,audio,72,Vivid Tribe Of Psychics,,
music_and_sound,Psychic TV,One True Tribal Dance,01OneTrueTribalDance,https://archive.org/details/01OneTrueTribalDance,audio,72,Psychic TV/Aim23,,
music_and_sound,Keith Richards,Unknown Dreams (1989),KRUnknownDreams1989,https://archive.org/details/KRUnknownDreams1989,audio,72,Keith Richards,,
music_and_sound,Psychic TV,"Report From The Final Academy: Cabaret Voltaire, Psychic TV & Last Few Days",ReportFromTheFinalAcademy,https://archive.org/details/ReportFromTheFinalAcademy,audio,71,,,
music_and_sound,Lou Reed,Lou Reed Berlin 1973 20131111,AlbumDeFamilia078,https://archive.org/details/AlbumDeFamilia078,audio,71,Tiago Castro,,
music_and_sound,Lou Reed,Kicks - Lou Reed Live Roxy Theater L. A. 1976,kicksloureedliveroxytheaterl.a.1976,https://archive.org/details/kicksloureedliveroxytheaterl.a.1976,audio,71,Bertus,,
music_and_sound,Lou Reed,Lou Reed Live Roxy Theatre L. A 1976,lou-reed-live-roxy-theatre-l.-a-1976,https://archive.org/details/lou-reed-live-roxy-theatre-l.-a-1976,audio,71,BERTUS,,
music_and_sound,Lou Reed,Lou Reed - Smart Too Late: The Music Of A Young Lou Reed,Lou-Reed_Smart-Too-Late-The-Music-Of-A-Young-Lou-Reed,https://archive.org/details/Lou-Reed_Smart-Too-Late-The-Music-Of-A-Young-Lou-Reed,audio,71,,,
music_and_sound,Lou Reed,lou reed,lou_reed-2,https://archive.org/details/lou_reed-2,audio,71,lou reed,,
music_and_sound,Crass,Crass & Flux Etc Demos Etc,full_20230107,https://archive.org/details/full_20230107,audio,70,,,
music_and_sound,Crass,Crass & Poison Girls Live 1982 / BBP 0003,full_20230107_202301,https://archive.org/details/full_20230107_202301,audio,70,,,
music_and_sound,Crass,"Díscola 95 CRASS, No Hay Más Autoridad Que Tú Mismo",discola-95-crass-no-hay-mas-autoridad-que-tu-mismo,https://archive.org/details/discola-95-crass-no-hay-mas-autoridad-que-tu-mismo,audio,70,Díscola,,
music_and_sound,Minutemen,Double Nickels on the Dime,1984-minutemen-double-nickels-on-the-dime,https://archive.org/details/1984-minutemen-double-nickels-on-the-dime,audio,70,Minutemen,,
music_and_sound,Johnny Thunders,Johnny Thunders - Apocalypse Toronto - July 1 1989,johnny-thunders-jul-1989-apocalypse-toronto,https://archive.org/details/johnny-thunders-jul-1989-apocalypse-toronto,audio,70,Johnny Thunders,,
music_and_sound,Johnny Thunders,Johnny Thunders Apocalypse Toronto Fri July 6 1990,johnny-thunders-apocalypse-toronto-fri-july-6-1990,https://archive.org/details/johnny-thunders-apocalypse-toronto-fri-july-6-1990,audio,70,Johnny Thunders,,
music_and_sound,Johnny Thunders,Johnny Thunders Apocalypse Toronto Sat July 7 1990,johnny-thunders-apocalypse-toronto-sat-july-7-1990,https://archive.org/details/johnny-thunders-apocalypse-toronto-sat-july-7-1990,audio,70,Johnny Thunders,,
music_and_sound,Sid Vicious,The Best Of Sid Vicious,06-sid-vicious-i-wanna-be-your-dog,https://archive.org/details/06-sid-vicious-i-wanna-be-your-dog,audio,70,Sid Vicious,,
music_and_sound,Sid Vicious,SID VICIOUS (ENGLAND) - TAKE A CHANCE (JERRY NOLAN),sid-vicious-take-a-chance-jerry-nolan,https://archive.org/details/sid-vicious-take-a-chance-jerry-nolan,audio,70,SID VICIOUS,,
music_and_sound,Psychic TV,This Is Your Parents' Psychic TV,JesseK.ThisIsYourParentsPsychicTV,https://archive.org/details/JesseK.ThisIsYourParentsPsychicTV,audio,70,jessek,,
music_and_sound,Brian Jonestown Massacre,Brian Jonestown Massacre - Methodrone,brianjonestownmassacremethodrone,https://archive.org/details/brianjonestownmassacremethodrone,audio,70,Brian Jonestown Massacre,,
