"category","search_term","title","identifier","url","mediatype","confidence_score","creator","publisher","page_count"
"visual_art_and_artists","Frank Lloyd Wright","The future of architecture","futureofarchitec00wrig","https://archive.org/details/futureofarchitec00wrig","texts","91","Wright, Frank Lloyd. aut","New York ; Toronto : New American Library","360"
"visual_art_and_artists","Frank Lloyd Wright","The living city","livingcity00wrig","https://archive.org/details/livingcity00wrig","texts","91","Wright, Frank Lloyd, 1867-1959","New York : New American Library","264"
"visual_art_and_artists","Frank Lloyd Wright","History of Swansea, Massachusetts, 1667-1917","historyofswansea1667wrig","https://archive.org/details/historyofswansea1667wrig","texts","91","Wright, Otis Olney","Salem, Mass. : Higginson Book Co.","308"
"literature","Bret Easton Ellis","Less than zero","lessthanzero00bret","https://archive.org/details/lessthanzero00bret","texts","91","Ellis, Bret Easton","New York : Penguin Books","214"
"literature","Albert Camus","Caligula & three other plays","caligulathreeoth00cam_k11","https://archive.org/details/caligulathreeoth00cam_k11","texts","91","Camus, Albert, 1913-1960","New York : Knopf","328"
"literature","Albert Camus","The myth of Sisyphus, and other essays","mythofsisyphusot0000camu_j4j5","https://archive.org/details/mythofsisyphusot0000camu_j4j5","texts","91","Camus, Albert, 1913-1960","New York : Vintage Books","230"
"literature","Albert Camus","Darwin and modern science; essays in commemoration of the centenary of the birth of Charles Darwin and of the fiftieth anniversary of the publication of the Origin of species","cu31924024562377","https://archive.org/details/cu31924024562377","texts","91","Seward, A. C. (Albert Charles), 1863-1941, Cambridge Philosophical Society, Cambridge University Press","Cambridge, University Press","642"
"literature","Albert Camus","The first man","firstman00camu","https://archive.org/details/firstman00camu","texts","91","Camus, Albert, 1913-1960, Hapgood, David","New York : Knopf","346"
"literature","Albert Camus","Lyrical and critical","lyricalcritical0000camu","https://archive.org/details/lyricalcritical0000camu","texts","91","Camus, Albert, 1913-1960","London : H. Hamilton","294"
"literature","Albert Camus","L'homme révolté","lhommerevolte0000unse","https://archive.org/details/lhommerevolte0000unse","texts","91","Camus, Albert (1913-1960). Auteur","Paris : Gallimard","396"
"literature","Charles Bukowski","Hot Water Music","hotwatermusic00buko","https://archive.org/details/hotwatermusic00buko","texts","91","Bukowski, Charles","S. l. Black Sparrow Press, U.S. Black Sparrow Press Black Sparrow Press, U.S. Black Sparrow Press","234"
